SUBSET,QUESTION,A,B,C,D,E,TRUE
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { char* s = \"text\"; s[0] = 'T'; return 0; } ```","A. Nic, je správný","B. Změna string literálu","C. Chybí malloc","D. s není pole","E. Chybí return 1","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 5; switch (x) { case 5: printf(\"ano\"); break; } return 0; } ```","A. ano","B. Nic","C. 5","D. Chyba kompilace","E. Runtime error","A"
B0B36PRP,"Jak deklarovat konstantní ukazatel?","A. const int* p;","B. int* const p;","C. int const* p;","D. const* int p;","E. Nelze deklarovat","B"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; x ^= 3; printf(\"\"%d\"\", x); return 0; } ```","A. 5","B. 3","C. 6","D. Chyba kompilace","E. Runtime error","C"
B0B36PRP,"Co dělá tento kód? ```c int arr[3] = {1, 2, 3}; int* p = arr; p++; ```","A. Zvýší arr[0]","B. Posune ukazatel na arr[1]","C. Chyba kompilace","D. Runtime error","E. Nic, p je NULL","B"
B0B36PRP,"Jak ukončit string v C?","A. \\n","B. \\0","C. NULL","D. ;","E. Nelze ukončit","B"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int x = 5; int* p = x; return 0; } ```","A. Nic, je správný","B. p očekává adresu, ne hodnotu","C. Chybí &","D. x není ukazatel","E. Chybí return 1","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", ~x); return 0; } ```","A. 5","B. -6","C. 0","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak definovat rekurzivní funkci?","A. Funkce volá sama sebe","B. Funkce vrací int","C. Funkce má smyčku","D. Nelze definovat","E. Funkce je static","A"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; int y = 2; printf(\"\"%d\"\", x / y); return 0; } ```","A. 2","B. 2.5","C. 3","D. Chyba kompilace","E. Runtime error","A"
B0B36PRP,"Co je časová složitost smazání prvku ze spojového seznamu?","A. O(1)","B. O(n)","C. O(log n)","D. O(n log n)","E. O(n**2)","A"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", x == 5 ? 1 : 0); return 0; } ```","A. 1","B. 0","C. 5","D. Chyba kompilace","E. Runtime error","A"
B0B36PRP,"Jak předat ukazatel funkci?","A. int func(int p);","B. int func(int* p);","C. int func(&p);","D. int func(*p);","E. Nelze předat","B"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int* p; free(p); return 0; } ```","A. Nic, je správný","B. p není alokováno","C. Chybí malloc","D. free očekává int","E. Chybí return 1","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x[2] = {1, 2}; printf(\"\"%d\"\", *(x+1)); return 0; } ```","A. 1","B. 2","C. 0","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak deklarovat funkci bez parametrů?","A. int func();","B. int func(void);","C. int func(NULL);","D. int func(empty);","E. Nelze deklarovat","B"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", x > 3); return 0; } ```","A. 1","B. 0","C. 5","D. Chyba kompilace","E. Runtime error","A"
B0B36PRP,"Co dělá tento kód? ```c int x = 5; int* p = &x; *p += 1; ```","A. Zvýší x o 1","B. Zvýší p o 1","C. Chyba kompilace","D. Runtime error","E. Nic, p je NULL","A"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int x = 5; return x; } ```","A. Nic, je správný","B. Chybí return 0","C. Chybí main","D. x není inicializováno","E. Chybí #include","A"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 5; x <<= 1; printf(\"\"%d\"\", x); return 0; } ```","A. 5","B. 10","C. 2","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak inicializovat strukturu?","A. struct S s = {1, 2};","B. struct S s = (1, 2);","C. struct S s = [1, 2];","D. struct S s = 1, 2;","E. Nelze inicializovat","A"
B0B36PRP,"Co je časová složitost přístupu k prvku v poli?","A. O(1)","B. O(n)","C. O(log n)","D. O(n log n)","E. O(n**2)","A"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { char* s = \"test\"; printf(\"\"%c\"\", s[1]); return 0; } ```","A. t","B. e","C. s","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak deklarovat ukazatel na pole?","A. int* arr;","B. int (*arr)[5];","C. int arr*[];","D. int* arr[5];","E. Nelze deklarovat","B"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", x && 3); return 0; } ```","A. 1","B. 0","C. 5","D. Chyba kompilace","E. Runtime error","A"
B0B36PRP,"Co dělá tento kód? ```c int* p = malloc(4); if (p) *p = 5; ```","A. Alokuje a nastaví 5","B. Chyba kompilace","C. Runtime error","D. Nic, p je NULL","E. Neuvolňuje paměť","A"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int x = 5; int* p = &x; free(p); return 0; } ```","A. Nic, je správný","B. free na nealokovanou paměť","C. Chybí malloc","D. p není inicializováno","E. Chybí return 1","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", !x); return 0; } ```","A. 1","B. 0","C. 5","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak přidat prvek na konec fronty (spojový seznam)?","A. Na začátek","B. Na konec","C. Uprostřed","D. Záleží na implementaci","E. Nelze přidat","B"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", x || 0); return 0; } ```","A. 1","B. 0","C. 5","D. Chyba kompilace","E. Runtime error","A"
B0B36PRP,"Co dělá tento kód? ```c int x = 5; int y = x; ```","A. Kopíruje x do y","B. Přiřadí adresu","C. Chyba kompilace","D. Runtime error","E. Nic, y není deklarováno","A"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int x[2]; x[2] = 5; return 0; } ```","A. Nic, je správný","B. Přístup mimo pole","C. Chybí inicializace","D. x není ukazatel","E. Chybí return 1","B"
B0B01LGR,"Která z následujících formulí je tautologie?","p ∧ ¬p","p ∨ ¬p","p → ¬p","p ↔ ¬p","p ∧ p","B"
B0B01LGR,"Jaká je negace výroku „Pokud je slunečno, pak svítí slunce.“?","Je slunečno a slunce nesvítí.","Není slunečno a slunce svítí.","Je slunečno nebo slunce svítí.","Není slunečno nebo slunce nesvítí.","Slunce svítí a není slunečno.","A"
B0B01LGR,"Které tvrzení je ekvivalentní s „p → q“?","¬p ∨ q","p ∧ q","¬p ∧ q","p ∨ ¬q","p ∧ ¬p","A"
B0B01LGR,"Co je výsledek p XOR q, když p = 1 a q = 0?","1","0","Nelze určit","Závisí na dalších proměnných","p ∧ q","A"
B0B01LGR,"Která formule je kontradikce?","p ∨ ¬p","p ∧ ¬p","p → p","p ↔ ¬p","p ∨ p","B"
B0B01LGR,"Jaká je hodnota (p ∧ q) ∨ ¬p, když p = 0, q = 1?","0","1","Nelze určit","Obě možnosti","q ∧ ¬q","B"
B0B01LGR,"Který výrok je ekvivalentní s ¬(p ∧ q)?","¬p ∨ ¬q","p ∨ q","¬p ∧ ¬q","p ∧ ¬q","p ∧ p","A"
B0B01LGR,"Co znamená kvantifikátor ∀?","Existuje alespoň jedno","Pro všechny","Neexistuje žádné","Pro některé","Žádné z výše uvedených","B"
B0B01LGR,"Která formule je ekvivalentní s ¬∀x P(x)?","∃x ¬P(x)","∀x ¬P(x)","¬∃x P(x)","∃x P(x)","∀x P(x)","A"
B0B01LGR,"Co znamená ∃x (P(x) ∧ Q(x))?","Všechny x mají P i Q.","Existuje x s P nebo Q.","Existuje x s P i Q.","Žádné x nemá P ani Q.","Pro všechny x je P(x).","C"
B0B01LGR,"Který výrok je pravdivý v prázdné doméně?","∀x P(x)","∃x P(x)","¬∃x P(x)","A i C","∃x ¬P(x)","A"
B0B01LGR,"Co je vrchol v grafu?","Spojení mezi body","Bod, kde se setkávají hrany","Cesta mezi vrcholy","Smyčka","Hrana mezi dvěma body","B"
B0B01LGR,"Jaký jménem nazýváme počet hran incidentních s vrcholem?","Casta","Stupeň","Komponenta","Souseda","Cyklus","B"
B0B01LGR,"Co je úplný graf?","Graf s cykly","Graf, kde každý vrchol má hranu ke všem ostatním","Graf bez smyček","Graf s jednou hranou","Graf bez vrcholů","B"
B0B01LGR,"Kolik hran má úplný graf s 5 vrcholy?","5","10","15","20","25","B"
B0B01LGR,"Co je strom?","Graf s cykly","Souvislý graf bez cyklů","Graf s jedním vrcholem","Graf s maximálním stupněm","Graf s izolovanými vrcholy","B"
B0B01LGR,"Která formule je ekvivalentní s p ↔ q?","(p → q) ∧ (q → p)","p ∨ q","¬p ∧ ¬q","p ∧ ¬q","p ∧ p","A"
B0B01LGR,"Jaká je hodnota ¬(p ∨ q), když p = 1, q = 0?","1","0","Nelze určit","Žádná z možností","p ∧ q","B"
B0B01LGR,"Který výrok je tautologií?","p ∧ q","p ∨ ¬p","p → q","¬p ∧ p","p ∧ ¬q","B"
B0B01LGR,"Co je negace „p ∨ q“?","¬p ∧ ¬q","p ∧ q","¬p ∨ ¬q","p ∨ ¬q","p ∧ p","A"
B0B01LGR,"Která operace není asociativní?","∧","∨","XOR","→","p ∧ ¬p","C"
B0B01LGR,"Jaký je význam ∀x (P(x) → Q(x))?","Pro všechny x, pokud P, pak Q.","Existuje x, kde P a Q.","Pro všechny x, P nebo Q.","Žádné x nemá P.","Existuje x, kde ¬P.","A"
B0B01LGR,"Která formule není ekvivalentní s ostatními?","∀x P(x)","¬∃x ¬P(x)","∃x P(x)","∀x ¬¬P(x)","∀x (P(x) ∧ P(x))","C"
B0B01LGR,"Co je hrana v grafu?","Bod","Spojení mezi dvěma vrcholy","Casta","Smyčka","Vrchol","B"
B0B01LGR,"Kolik vrcholů má strom s 6 hranami?","5","6","7","8","9","C"
B0B01LGR,"Který graf je bipartitní?","Úplný graf K4","Cyklus C4","Cyklus C5","Strom","Úplný graf K5","B"
B0B01LGR,"Jaká je negace „∀x P(x)“?","∃x ¬P(x)","∀x ¬P(x)","¬∃x P(x)","∃x P(x)","∀x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Který výrok je vždy pravdivý?","p → p","p ∧ ¬p","p ∨ ¬q","p ↔ ¬p","p ∧ q","A"
B0B01LGR,"Co je souvislý graf?","Graf bez hran","Graf s jednou komponentou","Graf s cykly","Graf bez vrcholů","Graf s dvěma hranami","B"
B0B01LGR,"Která formule je satisfikovatelná, ale ne tautologie?","p ∧ q","p ∨ ¬p","p ∧ ¬p","¬p → p","p ∨ p","A"
B0B01LGR,"Jaký je výsledek (p → q) ∧ (q → p), když p = 0, q = 1?","0","1","Nelze určit","Obě možnosti","p ∧ q","B"
B0B01LGR,"Který výrok je ekvivalentní s ∃x ¬P(x)?","¬∀x P(x)","∀x ¬P(x)","¬∃x P(x)","∃x P(x)","∀x (P(x) ∨ ¬P(x))","A"
B0B01LGR,"Co je cyklus v grafu?","Casta mezi vrcholy","Smyčka","Casta, která začíná a končí ve stejném vrcholu","Graf bez hran","Izolovaný vrchol","C"
B0B01LGR,"Kolik hran má minimální souvislý graf s 4 vrcholy?","3","4","5","6","7","A"
B0B01LGR,"Která operace je komutativní?","→","↔","∧","XOR","E i C","D"
B0B01LGR,"Jaký je význam ¬∃x P(x)?","∀x ¬P(x)","∃x ¬P(x)","¬∀x P(x)","∀x P(x)","∃x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Který graf nemá Eulerovu cestu?","Úplný graf K5","Graf s jedním vrcholem","Graf se dvěma nesouvislými vrcholy","Strom","K4","C"
B0B01LGR,"Co je tautologie?","Výrok vždy pravdivý","Výrok vždy nepravdivý","Výrok někdy pravdivý","Výrok bez proměnných","Výrok s jednou proměnnou","A"
B0B01LGR,"Která formule je ekvivalentní s p ∧ (q ∨ r)?","(p ∧ q) ∨ (p ∧ r)","p ∨ (q ∧ r)","(p ∨ q) ∧ r","p ∧ q ∧ r","p ∧ (q ∧ ¬r)","A"
B0B01LGR,"Jaký je stupeň vrcholu s 3 incidentními hranami?","1","2","3","4","5","C"
B0B01LGR,"Který výrok je kontradikcí?","p → ¬p","p ∧ ¬p","p ∨ ¬p","p ↔ p","p ∨ q","B"
B0B01LGR,"Co znamená ∃x ∀y P(x, y)?","Pro všechny x existuje y, kde P.","Existuje x, pro které P platí pro všechny y.","Pro všechny y existuje x, kde P.","Žádné x nemá P.","Pro některé x je P(x).","B"
B0B01LGR,"Kolik komponent má graf s 5 vrcholy a 0 hranami?","1","3","5","7","4","C"
B0B01LGR,"Který graf je strom?","Cyklus C3","K4 bez jedné hrany","Úplný graf K3","Graf s 4 vrcholy a 3 hranami","K5","D"
B0B01LGR,"Jaká je negace „p → q“?","p ∧ ¬q","¬p ∨ q","p ∨ ¬q","¬p ∧ q","p ∧ p","A"
B0B01LGR,"Která formule je platná?","∀x P(x) → ∃x P(x)","∃x P(x) → ∀x P(x)","∀x P(x) ↔ ∃x P(x)","¬∀x P(x) → ∃x P(x)","∃x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Co je maximální stupeň vrcholu v K5?","3","4","5","6","7","B"
B0B01LGR,"Který výrok není tautologie?","p ∨ ¬p","p → p","p ∧ ¬p","p ↔ p","p ∨ p","C"
B0B01LGR,"Jaký je výsledek ¬p ∧ (q ∨ r), když p = 1, q = 0, r = 1?","0","1","Nelze určit","Obě možnosti","q ∧ r","A"
B0B01LGR,"Která formule je ekvivalentní s ∀x (P(x) ∧ Q(x))?","∀x P(x) ∧ ∀x Q(x)","∃x P(x) ∧ ∃x Q(x)","∀x P(x) ∨ ∀x Q(x)","∃x (P(x) ∧ Q(x))","∀x (P(x) ∨ Q(x))","A"
B0B01LGR,"Co je minimální počet vrcholů v grafu s cyklem?","2","3","4","5","6","B"
B0B01LGR,"Který výrok je satisfikovatelný?","p ∧ ¬p","p ∨ ¬p","p → ¬p","p ∧ q","p ∨ p","D"
B0B01LGR,"Jaká je negace ∃x (P(x) ∨ Q(x))?","∀x (¬P(x) ∧ ¬Q(x))","∃x (¬P(x) ∧ ¬Q(x))","∀x (P(x) ∨ Q(x))","∃x (P(x) ∧ Q(x))","∀x (P(x) ∧ ¬Q(x))","A"
B0B01LGR,"Kolik hran má K3?","2","3","4","6","5","B"
B0B01LGR,"Který graf je nesouvislý?","K4","Strom s 5 vrcholy","Graf s 2 izolovanými vrcholy","Cyklus C6","Úplný graf K5","C"
B0B01LGR,"Co je distributivní vlastnost?","p ∧ (q ∨ r) = (p ∧ q) ∨ (p ∧ r)","p ∨ p = p","p ∧ ¬ شاهد = 0","p → q = ¬p ∨ q","p ∧ q = q ∧ p","A"
B0B01LGR,"Která formule je ekvivalentní s ¬(p → q)?","p ∧ ¬q","¬p ∨ q","p ∨ ¬q","¬p ∧ q","p ∧ p","A"
B0B01LGR,"Jaký je výsledek (p ∨ q) ∧ ¬p, když p = 0, q = 1?","0","1","Nelze určit","Obě možnosti","p ∧ q","B"
B0B01LGR,"Který výrok je pravdivý, pokud p = q?","p ↔ q","p → ¬q","¬p ∨ q","p ∧ ¬q","p ∧ ¬p","A"
B0B01LGR,"Co je maximální počet hran v grafu s 4 vrcholy?","4","5","6","8","10","C"
B0B01LGR,"Která formule je ekvivalentní s ∃x (P(x) → Q(x))?","∀x P(x) → ∃x Q(x)","∃x ¬P(x) ∨ ∃x Q(x)","∀x (P(x) ∨ Q(x))","∃x P(x) ∧ ∃x Q(x)","∀x (P(x) ∧ Q(x))","B"
B0B01LGR,"Jaký je počet vrcholů v K5?","4","5","6","7","8","B"
B0B01LGR,"Který graf má Hamiltonovskou cestu?","K3","Cyklus C4","Strom s 4 vrcholy","Všechny výše uvedené","Úplný graf K2","B"
B0B01LGR,"Co je negace „∀x ∃y P(x, y)“?","∃x ∀y ¬P(x, y)","∀x ∃y ¬P(x, y)","∃x ∃y ¬P(x, y)","∀x ∀y P(x, y)","∃x ∃y P(x, y)","A"
B0B01LGR,"Který výrok je tautologie?","p ∧ (p → q)","p ∨ (p ∧ q)","p → (q → p)","p ∧ ¬q","p ∧ ¬p","C"
B0B01LGR,"Jaký je stupeň izolovaného vrcholu?","0","1","2","3","4","A"
B0B01LGR,"Která formule není satisfikovatelná?","p ∨ ¬p","p ∧ ¬p","p → q","¬p ∨ q","p ∨ q","B"
B0B01LGR,"Co je minimální počet hran v souvislém grafu s 5 vrcholy?","4","5","6","10","8","A"
B0B01LGR,"Který výrok je ekvivalentní s p ∨ q?","¬p → q","p → ¬q","¬(¬p ∧ ¬q)","p ∧ ¬q","p ∧ p","C"
B0B01LGR,"Jaký je výsledek (p ∧ q) → r, když p = 1, q = 0, r = 1?","0","1","Nelze určit","Obě možnosti","p ∧ r","B"
B0B01LGR,"Který graf je úplný?","K3","K2","Cyklus C4","Strom","Graf s 3 vrcholy","A"
B0B01LGR,"Co je maximální počet hran ve stromu s 6 vrcholy?","4","5","6","7","8","B"
B0B01LGR,"Která formule je ekvivalentní s ¬∀x ¬P(x)?","∃x P(x)","∀x P(x)","¬∃x P(x)","∃x ¬P(x)","∀x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Jaký je počet hran v bipartitním grafu K2,3?","4","5","6","7","8","C"
B0B01LGR,"Který výrok je pravdivý pro prázdnou doménu?","∃x P(x)","∀x ¬P(x)","∃x ¬P(x)","¬∀x P(x)","∀x (P(x) ∨ ¬P(x))","B"
B0B01LGR,"Co je smyčka v grafu?","Hrana spojující vrchol sám se sebou","Casta mezi dvěma vrcholy","Cyklus délky 3","Izolovaný vrchol","Hrana mezi dvěma vrcholy","A"
B0B01LGR,"Která formule je tautologie?","p → (q ∨ ¬q)","p ∧ (q ∧ ¬q)","p ∨ (q ∧ ¬p)","p → ¬p","p ∧ q","A"
B0B01LGR,"Jaký je výsledek ¬(p ∧ q), když p = 0, q = 1?","0","1","Nelze určit","Obě možnosti","p ∨ q","B"
B0B01LGR,"Který graf nemá cyklus?","K4","Strom","Cyklus C5","Úplný graf K5","K3","B"
B0B01LGR,"Co je maximální stupeň vrcholu v grafu s 6 vrcholy?","4","5","6","10","7","B"
B0B01LGR,"Který výrok je ekvivalentní s ¬(p ∨ q)?","¬p ∧ ¬q","p ∧ q","¬p ∨ ¬q","p ∨ q","p ∧ ¬p","A"
B0B01LGR,"Jaký je počet hran v K4?","4","5","6","7","8","C"
B0B01LGR,"Která formule je satisfikovatelná?","p ∧ ¬p","p ∨ q","p → ¬p","¬p ∧ p","p ∧ ¬q","B"
B0B01LGR,"Co je minimální stupeň vrcholu v K3?","1","2","3","4","0","B"
B0B01LGR,"Který výrok je pravdivý, pokud ∀x P(x) je nepravda?","∃x ¬P(x)","∀x ¬P(x)","¬∃x P(x)","∃x P(x)","∀x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Jaký je výsledek p → (q ∧ r), když p = 0, q = 1, r = 0?","0","1","Nelze určit","Obě možnosti","q ∧ r","B"
B0B01LGR,"Který graf je bipartitní?","K3","Cyklus C6","K4","Strom","Úplný graf K5","B"
B0B01LGR,"Co je negace „p ∧ q“?","¬p ∨ ¬q","p ∨ q","¬p ∧ ¬q","p ∧ ¬q","p ∧ p","A"
B0B01LGR,"Kolik vrcholů má minimální cyklus?","2","3","4","5","6","B"
B0B01LGR,"Která formule je ekvivalentní s p → (q → r)?","(p ∧ q) → r","p ∨ (q → r)","p ∧ (q ∨ r)","(p → q) ∧ r","p ∧ (q ∧ r)","A"
B0B01LGR,"Jaký je maximální počet komponent v grafu s 5 vrcholy?","3","4","5","6","7","C"
B0B01LGR,"Který výrok je tautologie?","p ∧ ¬p","p ∨ ¬p","p → ¬q","p ∧ q","p ∧ ¬q","B"
B0B01LGR,"Co je počet hran v minimálním stromu s 7 vrcholy?","5","6","7","8","9","B"
B0B01LGR,"Která formule je ekvivalentní s ∃x (P(x) ∧ ¬Q(x))?","∃x P(x) ∧ ¬∃x Q(x)","∃x (P(x) ∧ ∀y ¬Q(y))","∃x P(x) ∧ ∃x ¬Q(x)","¬∀x (¬P(x) ∨ Q(x))","∃x (P(x) ∨ Q(x))","D"
B0B01LGR,"Jaký je výsledek (p ∨ q) ∧ ¬p, když p = 0, q = 1?","0","1","Nelze určit","Obě možnosti","p ∧ q","B"
B0B01LGR,"Který graf je úplný?","K3","K2","Cyklus C4","Strom","Graf s 3 vrcholy","A"
B0B01LGR,"Co je maximální počet hran ve stromu s 6 vrcholy?","4","5","6","7","8","B"
B0B01LGR,"Která formule je ekvivalentní s ¬∀x ¬P(x)?","∃x P(x)","∀x P(x)","¬∃x P(x)","∃x ¬P(x)","∀x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Jaký je počet hran v bipartitním grafu K2,3?","4","5","6","7","8","C"
B0B01LGR,"Který výrok je pravdivý pro prázdnou doménu?","∃x P(x)","∀x ¬P(x)","∃x ¬P(x)","¬∀x P(x)","∀x (P(x) ∨ ¬P(x))","B"
B0B01LGR,"Co je smyčka v grafu?","Hrana spojující vrchol sám se sebou","Casta mezi dvěma vrcholy","Cyklus délky 3","Izolovaný vrchol","Hrana mezi dvěma vrcholy","A"
B0B01LGR,"Která formule je tautologie?","p → (q ∨ ¬q)","p ∧ (q ∧ ¬q)","p ∨ (q ∧ ¬p)","p → ¬p","p ∧ q","A"
B0B01LGR,"Jaký je výsledek ¬(p ∧ q), když p = 0, q = 1?","0","1","Nelze určit","Obě možnosti","p ∨ q","B"
B0B01LGR,"Který graf nemá cyklus?","K4","Strom","Cyklus C5","Úplný graf K5","K3","B"
B0B01LGR,"Co je maximální stupeň vrcholu v grafu s 6 vrcholy?","4","5","6","10","7","B"
B0B01LGR,"Který výrok je ekvivalentní s ¬(p ∨ q)?","¬p ∧ ¬q","p ∧ q","¬p ∨ ¬q","p ∨ q","p ∧ ¬p","A"
B0B01LGR,"Jaký je počet hran v K4?","4","5","6","7","8","C"
B0B01LGR,"Která formule je satisfikovatelná?","p ∧ ¬p","p ∨ q","p → ¬p","¬p ∧ p","p ∧ ¬q","B"
B0B01LGR,"Co je minimální stupeň vrcholu v K3?","1","2","3","4","0","B"
B0B01LGR,"Který výrok je pravdivý, pokud ∀x P(x) je nepravda?","∃x ¬P(x)","∀x ¬P(x)","¬∃x P(x)","∃x P(x)","∀x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Jaký je výsledek p → (q ∧ r), když p = 0, q = 1, r = 0?","0","1","Nelze určit","Obě možnosti","q ∧ r","B"
B0B01LGR,"Který graf je bipartitní?","K3","Cyklus C6","K4","Strom","Úplný graf K5","B"
B0B01LGR,"Co je negace „p ∧ q“?","¬p ∨ ¬q","p ∨ q","¬p ∧ ¬q","p ∧ ¬q","p ∧ p","A"
B0B01LGR,"Kolik vrcholů má minimální cyklus?","2","3","4","5","6","B"
B0B01LGR,"Která formule je ekvivalentní s p → (q → r)?","(p ∧ q) → r","p ∨ (q → r)","p ∧ (q ∨ r)","(p → q) ∧ r","p ∧ (q ∧ r)","A"
B0B01LGR,"Jaký je maximální počet komponent v grafu s 5 vrcholy?","3","4","5","6","7","C"
B0B01LGR,"Který výrok je tautologie?","p ∧ ¬p","p ∨ ¬p","p → ¬q","p ∧ q","p ∧ ¬q","B"
B0B01LGR,"Co je počet hran v minimálním stromu s 7 vrcholy?","5","6","7","8","9","B"
B0B01LGR,"Která formule je ekvivalentní s ∃x (P(x) ∧ ¬Q(x))?","∃x P(x) ∧ ¬∃x Q(x)","∃x (P(x) ∧ ∀y ¬Q(y))","∃x P(x) ∧ ∃x ¬Q(x)","¬∀x (¬P(x) ∨ Q(x))","∃x (P(x) ∨ Q(x))","D"
B0B01LGR,"Jaký je výsledek (p ∨ q) ∧ ¬p, když p = 0, q = 1?","0","1","Nelze určit","Obě možnosti","p ∧ q","B"
B0B01LGR,"Který graf je úplný?","K3","K2","Cyklus C4","Strom","Graf s 3 vrcholy","A"
B0B01LGR,"Co je maximální počet hran ve stromu s 6 vrcholy?","4","5","6","7","8","B"
B0B01LGR,"Která formule je ekvivalentní s ¬∀x ¬P(x)?","∃x P(x)","∀x P(x)","¬∃x P(x)","∃x ¬P(x)","∀x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Jaký je počet hran v bipartitním grafu K2,3?","4","5","6","7","8","C"
B0B01LGR,"Který výrok je pravdivý pro prázdnou doménu?","∃x P(x)","∀x ¬P(x)","∃x ¬P(x)","¬∀x P(x)","∀x (P(x) ∨ ¬P(x))","B"
B0B01LGR,"Co je smyčka v grafu?","Hrana spojující vrchol sám se sebou","Casta mezi dvěma vrcholy","Cyklus délky 3","Izolovaný vrchol","Hrana mezi dvěma vrcholy","A"
B0B01LGR,"Která formule je tautologie?","p → (q ∨ ¬q)","p ∧ (q ∧ ¬q)","p ∨ (q ∧ ¬p)","p → ¬p","p ∧ q","A"
B0B01LGR,"Jaký je výsledek ¬(p ∧ q), když p = 0, q = 1?","0","1","Nelze určit","Obě možnosti","p ∨ q","B"
B0B01LGR,"Který graf nemá cyklus?","K4","Strom","Cyklus C5","Úplný graf K5","K3","B"
B0B01LGR,"Co je maximální stupeň vrcholu v grafu s 6 vrcholy?","4","5","6","10","7","B"
B0B01LGR,"Který výrok je ekvivalentní s ¬(p ∨ q)?","¬p ∧ ¬q","p ∧ q","¬p ∨ ¬q","p ∨ q","p ∧ ¬p","A"
B0B01LGR,"Jaký je počet hran v K4?","4","5","6","7","8","C"
B0B01LGR,"Která formule je satisfikovatelná?","p ∧ ¬p","p ∨ q","p → ¬p","¬p ∧ p","p ∧ ¬q","B"
B0B01LGR,"Co je minimální stupeň vrcholu v K3?","1","2","3","4","0","B"
B0B01LGR,"Který výrok je pravdivý, pokud ∀x P(x) je nepravda?","∃x ¬P(x)","∀x ¬P(x)","¬∃x P(x)","∃x P(x)","∀x (P(x) ∧ ¬P(x))","A"
B0B01LGR,"Jaký je výsledek p → (q ∧ r), když p = 0, q = 1, r = 0?","0","1","Nelze určit","Obě možnosti","q ∧ r","B"
B0B01LGR,"Který graf je bipartitní?","K3","Cyklus C6","K4","Strom","Úplný graf K5","B"
B0B01LGR,"Co je negace „p ∧ q“?","¬p ∨ ¬q","p ∨ q","¬p ∧ ¬q","p ∧ ¬q","p ∧ p","A"
B0B01LGR,"Kolik vrcholů má minimální cyklus?","2","3","4","5","6","B"
B0B01LGR,"Která formule je ekvivalentní s p → (q → r)?","(p ∧ q) → r","p ∨ (q → r)","p ∧ (q ∨ r)","(p → q) ∧ r","p ∧ (q ∧ r)","A"
B0B01LGR,"Jaký je maximální počet komponent v grafu s 5 vrcholy?","3","4","5","6","7","C"
B0B01LGR,"Který výrok je tautologie?","p ∧ ¬p","p ∨ ¬p","p → ¬q","p ∧ q","p ∧ ¬q","B"
B0B01LGR,"Co je počet hran v minimálním stromu s 7 vrcholy?","5","6","7","8","9","B"
B0B01LGR,Která formule je ekvivalentní s ∃x (P(x) ∧ ¬Q(x))?,∃x P(x) ∧ ¬∃x Q(x),∃x (P(x) ∧ ∀y ¬Q(y)),∃x P(x) ∧ ∃x ¬Q(x),¬∀x (¬P(x) ∨ Q(x)),,D
B0B01LGR,Jaký je výsledek (p ∨ q) ∧ ¬p když p = 0 q = 1?,0,1,Nelze určit,Obě možnosti,,B
B0B01LGR,Který graf má vždy Eulerovu cestu?,K4,Strom,Graf s lichým stupněm vrcholů,Graf s dvěma vrcholy,,A
B0B01LGR,Co je maximální počet hran v bipartitním grafu s 2 a 3 vrcholy?,4,5,6,7,,C
B0B36PJV,"Co je to třída v jazyce Java?","Sbírka metod","Datový typ","Šablona pro vytváření objektů","Funkce","Proměnná",C
